12/14/2020 6:14:14 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
12/14/2020 6:14:14 PM---Messages--:Connected With   : Database :- Z_TEST_Company_31_10_2020
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 40568: -------#####--Success Factor ID:- 1529--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 40572: -------#####--Success Factor ID:- 1529--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 40570: -------#####--Success Factor ID:- 1529--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 41579: -------#####--Success Factor ID:- 1529--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 41581: -------#####--Success Factor ID:- 1529--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 41795: -------#####--Success Factor ID:- 1761--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 41793: -------#####--Success Factor ID:- 1761--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 41720: -------#####--Success Factor ID:- 1761--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 41789: -------#####--Success Factor ID:- 1785--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 42090: -------#####--Success Factor ID:- 1719--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 42088: -------#####--Success Factor ID:- 1719--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 40542: -------#####--Success Factor ID:- 1211--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 40541: -------#####--Success Factor ID:- 1211--------
12/14/2020 6:14:47 PM---Messages--:-#####--Claim ID:- 40538: -------#####--Success Factor ID:- 1211--------
12/14/2020 6:14:48 PM---Messages--:-#####--Claim ID:- 40537: -------#####--Success Factor ID:- 1211--------
12/14/2020 6:14:48 PM---Messages--:-#####--Claim ID:- 40534: -------#####--Success Factor ID:- 1211--------
12/14/2020 6:14:48 PM---Messages--:-#####--Claim ID:- 39521: -------#####--Success Factor ID:- 1211--------
