12/21/2020 1:43:32 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
12/21/2020 1:43:32 PM---Messages--:Connected With   : Database :- Z_TEST_Company_31_10_2020
12/21/2020 1:45:23 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
12/21/2020 1:45:23 PM---Messages--:Connected With   : Database :- Z_TEST_Company_31_10_2020
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 43390: -------#####--Success Factor ID:- 1425--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 43392: -------#####--Success Factor ID:- 1425--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 43391: -------#####--Success Factor ID:- 1425--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 43386: -------#####--Success Factor ID:- 1425--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 42182: -------#####--Success Factor ID:- 1511--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 42184: -------#####--Success Factor ID:- 1511--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 42180: -------#####--Success Factor ID:- 1511--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 42138: -------#####--Success Factor ID:- 1811--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 42136: -------#####--Success Factor ID:- 1811--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 42134: -------#####--Success Factor ID:- 1811--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 38605: -------#####--Success Factor ID:- 1336--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 43353: -------#####--Success Factor ID:- 1850--------
12/21/2020 1:45:58 PM---Messages--:-#####--Claim ID:- 43347: -------#####--Success Factor ID:- 1850--------
12/21/2020 1:45:59 PM---Messages--:-#####--Claim ID:- 43310: -------#####--Success Factor ID:- 1088--------
12/21/2020 1:45:59 PM---Messages--:-#####--Claim ID:- 43306: -------#####--Success Factor ID:- 1088--------
12/21/2020 1:45:59 PM---Messages--:-#####--Claim ID:- 42462: -------#####--Success Factor ID:- 1088--------
12/21/2020 1:45:59 PM---Messages--:-#####--Claim ID:- 43308: -------#####--Success Factor ID:- 1088--------
12/21/2020 1:45:59 PM---Messages--:-#####--Claim ID:- 42460: -------#####--Success Factor ID:- 1088--------
